장,조,내용,LABEL 1,LABEL 1 근거,LABEL 2,LABEL 2 근거
,,"1. 서비스 이용에 대해 제한된 라이선스 부여. 귀하는 이용 약관에 동의하고 이를 계속해서 준수하는 것을 전제로 비상업적인 오락만을 목적으로 서비스를 이용할 수 있습니다. 게임을 하기 위해 서비스를 이용하려는 경우, 변경되지 않은 승인된 게임 클라이언트로 서비스에 접속하여 서비스를 이용할 수 있습니다. 그 외의 다른 목적으로 또는 다른 소프트웨어와 관련하여 서비스를 이용할 수 없습니다.",0,,,
,,2. 라이선스에 대한 추가 제한 사항. 제1항에 따라 부여된 라이선스는 제1항 및 제2항에 명시된 제한 사항(이하 총칭하여 “라이선스 제한 사항”)의 적용을 받습니다. 라이선스 제한 사항을 위반하여 서비스 또는 게임을 이용하는 경우 서비스 또는 게임에 포함된 블리자드의 저작권을 침해한 것으로 간주됩니다. 귀하는 어떠한 상황에서도 다음 행위를 해서는 안 되며 위반시 위반의 강도에 따라 후술할 당사의 운영정책에 의거 계정의 일시정지 또는 영구정지등의 제재를 받을 수 있습니다.,0,,,
,,"2.1 치트, 자동화 소프트웨어(봇), 핵, 모드 또는 서비스, 게임 또는 게임 플레이를 변경할 목적으로 설계된 기타 인증되지 않은 제삼자 소프트웨어 또는 장치를 제작, 배포, 사용, 광고하는 행위",0,,,
,,"2.2 다음을 포함(이에 제한되지 않음)한 상업적 목적으로 서비스 게임 또는 그 일부를 사용하는 행위: (a) 블리자드의 명시적인 서면 동의 없이 피씨방, 컴퓨터 게임장 또는 기타 상업 시설에서의 사용; (b) 상업 광고 또는 판촉 요청 또는 촉진; (c) 블리자드의 승인 없이 게임 외부에서의 판매를 목적으로 하는 게임 머니, 아이템 또는 자원 수집; (d) 게임 외부에서 대가를 지불하고 게임 서비스를 수행(예: 파워 레벨링)",0,,,
,,"2.3 블리자드의 사전 서면 동의 없이, 상업적 또는 비영리 단체에 의해 후원, 프로모션 또는 조성하는 이스포츠 대회 또는 단체대회에 본 서비스를 사용하는 행위. 단, 관련법령에 의해 예외가 인정되는 경우 또는 개별 게임 약관에 의하여 인정되는 경우는 제외합니다.",0,,,
,,"2.4 게임 또는 서비스에서 또는 게임 또는 서비스를 이용하여 정보를 가로채거나 “추출”하거나 또는 다른 방식으로 수집하는, 인증되지 않은 제삼자 소프트웨어를 사용하는 행위. 여기에는 게임 또는 서비스에서 캐릭터 또는 게임 환경 정보를 저장하기 위해 사용하는 RAM 영역을 읽는 소프트웨어도 포함(이에 제한되지 않음)됩니다. 단, 블리자드는 고유한 단독 재량에 따라 특정 제삼자 사용자 인터페이스의 사용을 허용할 수 있습니다.",0,,,
,,2.5 블리자드의 명시적 승인 없이 게임 또는 서비스의 일부인 파일을 변경하거나 변경을 야기하는 행위,0,,,
,,"2.6 게임 또는 서비스에 관련된 게임 대전 서비스를 주최, 제공 또는 개발하는 행위, 또는 인터넷상에서의 허가되지 않은 플레이, 네트워크 플레이 또는 콘텐츠 집합 네트워크의 일부를 포함(이에 제한되지 않음)하여 어떤 목적으로 든 블리자드에서 사용되는 통신 프로토콜을 가로채거나, 에뮬레이션하거나 방향을 바꾸는 행위",0,,,
,,"2.7 다음을 포함(이에 제한되지 않음)하여 게임 또는 서비스로의 허가되지 않은 접속을 생성, 조성 또는 유지하는 행위: (a) 서비스 또는 게임을 에뮬레이션하거나 에뮬레이션을 시도하는 허가되지 않은 서버로 접속하는 행위, (b) 블리자드가 명시적으로 승인하지 않는 프로그램 또는 도구를 사용한 접속",0,,,
,,"2.8 (i) 서비스 또는 게임 환경을 지원하는 데 사용되는 컴퓨터(각각 ""서버"") 또는 (ii) 다른 이용자의 게임 플레이를 교란하거나 교란을 지원하는 행위. 게임의 합법적 운영에 피해를 주거나 서비스를 방해하는 시도는 형사 및 민사상 위법 행위에 해당할 수 있습니다.",0,,,
