장,조,내용
,제1조 목적,"리그 오브 레전드(이하”게임”)는 델라웨어 주 기업인 Riot Games, Inc. 에서 개발하고 운영하는 무료 컴퓨터 게임입니다. 완전 자회사인 Riot Games Korea pmited (이하”회사”)는 게임과 관련 서비스를 운영하고 퍼블리쉬하며, 관련 서비스에는 www.leagueoflegends.co.kr에 위치한 웹사이트 (이하”사이트”)의 유지도 포함합니다. 본 정책은 서버 내 데이타 (물건, 인공물, 통화, 아이템, 장비 그리고 또는 게임을 플레이할 때 가치나 상태의 지표 등의 자산, 이에 국한되지 않음, 이하 “상품”)로 저장된 계정과 관련된 특정 자산을 허가하기 위해 사용될 수 있는 라이엇 포인트 (이하 “RP”)와 회원들이 따라야 하는 이와 관련된 규정을 정의함을 목적으로 합니다."
,제2조 정책의 효력 및 변경,① 정책의 내용은 홈페이지 및 클라이언트 서비스 화면에 이를 공지하거나 이메일 등의 방법으로 회원에게 공지함으로써 효력이 발생 됩니다.
,제2조 정책의 효력 및 변경,"② 회원은 전자상거래 등에서의 소비자 보호에 관한 법률, 정보통신망 이용촉진 등에 관한 법률 및 기타 관련 법령의 규정에 따릅니다."
,제2조 정책의 효력 및 변경,"③ ‘회사’는 합리적인 재량에 따라 이 정책을 변경할 수 있습니다. 정책이 변경되는 경우 변경된 정책의 내용과 적용일을 정하여, 그 적용일로부터 7일전 홈페이지에 온라인으로 공시합니다. 다만, 이용자에게 불리하게 정책 내용을 변경하는 경우에는 적용일로부터 30일전 홈페이지에 온라인으로 공시하거나 회원이 입력한 가장 최근의 이메일로 전송하는 방법으로 회원에게 고지합니다. 변경된 정책은 공시하거나 고지한 적용일로부터 효력이 발생합니다."
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.① 라이엇포인트(RP): 회원이 상품의 사용권을 득하게 하는 교환 가능한 포인트 시스템의 단위. RP는 충전할 수 있고 RP를 사용하여 상품을 구매할 수 있습니다.
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.② 충전: 회사에서 제공하는 방식 중 회원이 원하는 결제수단을 통해 일정 금액 단위로 RP를 구입하는 것을 말합니다.
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.③ 구매: RP로 회사가 제공하는 상품의 사용권을 득하는 행위를 말합니다. 상점에서 구매를 하는 즉시 해당 상품이 계정에 적용됩니다.
,제3조 용어의 정의,"이 정책에서 사용하는 용어의 정의는 다음과 같습니다.④ 상점: 게임의 스킨, 챔피언, 룬 페이지 등을 구매하며, RP를 충전할 수 있는 구매공간을 말합니다."
,제3조 용어의 정의,"이 정책에서 사용하는 용어의 정의는 다음과 같습니다.⑤ 상품: 회원이 게임 또는 게임 대기화면 등에서 사용 가능한 특정한 효과 또는 효능을 발휘하는 챔피언, 스킨, 룬페이지 등을 의미합니다."
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.⑥ 보너스 RP: 구매 시 또는 회사가 시행하는 각종 행사 또는 이벤트 등을 통해 회원에게 지급하는 무료 RP로 환불이 불가능한 RP입니다. 회원은 보너스 RP를 사용하여 상점에서 상품을 구매할 수 있습니다.
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.⑦ 이벤트 상품: 회사에서 시행하는 이벤트 또는 각종 대회 등에 참여하여 회원에게 제공하는 일체의 회원 본인이 구매하지 않은 상품을 말합니다.
,제3조 용어의 정의,이 정책에서 사용하는 용어의 정의는 다음과 같습니다.⑧ 선물하기: 이미 충전한 RP로 상품을 구매하거나 충전한 RP를 다른 회원에게 양도하는 것을 의미합니다.
,제4조 RP의 충전,"① RP의 충전은 신용카드(일부 체크카드 미포함), 휴대폰 결제, 무통장입금, 가상계좌 등 회사에서 제공하는 결제방식을 통해서 가능합니다. 단, 결제수단을 운영하는 사업자가 별도로 있는 경우, 회원은 해당 결제수단을 이용하기 전에 해당 결제수단의 사업자가 제시하는 절차에 따라야 합니다. 회사의 서비스 이용요금을 결제할 때에는 해당 결제수단의 사업자가 제시하는 절차 이행 및 사용약관에 동의한 것으로 간주합니다."
,제4조 RP의 충전,"② RP의 충전은 회사의 내부정책에 의해 제공되는 단위로 충전할 수 있으며, 이 때 선택된 결제수단에 따라 충전단위가 상이할 수 있습니다."
,제4조 RP의 충전,"③ RP는 계정을 기준으로 충전할 수 있지만 최대 충전 한도액은 명의로 구분되며, 회사가 기간 혹은 이용등급에 따라 최고 한도액을 정하거나, 별도로 회원이 지정한 결제수단에 따라 한도 금액이 정해질 수 있습니다. 단, 명의당 만 19세 미만 미성년자의 경우 월 최대 70,000원까지, 성인의 경우 500,000원까지 가능합니다."
,제4조 RP의 충전,④ 선물하기를 통해 RP를 충전하는 경우 이는 본인의 최대 충전 한도에 포함됩니다.
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다."
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.1. 결제수단의 이용요금이 납부되지 않거나 납부자를 확인할 수 없는 경우"
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.2. 결제수단을 이용하여 불법적인 행위를 하는 경우"
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.3. 신청항목의 필수적 기재사항이 누락되거나 잘못 작성한 경우"
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.4. 만 19세 미만의 미성년자인 회원이 법정대리인의 동의 없이 신청하거나, 법정대리인이 취소를 요청하는 경우"
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.5. 회원 본인 명의가 아니거나 명의자의 동의 혹은 허락 없이 결제수단을 무단으로 사용한 경우"
,제5조 RP의 결제 승인,"① 회사는 다음 각 호에 해당하는(이에 국한되지 않음) 이용신청에 대해 승인을 거부하거나, 추후 승인된 내용을 취소할 수 있습니다.6. 그 외 회원의 귀책사유로 인해 승인이 불가능하다고 판단되는 경우"
,제5조 RP의 결제 승인,"② 회사는 점검, 오류 등이 발생할 경우 결제 서비스를 일시적으로 중단할 수 있는 재량권이 있습니다."
,제5조 RP의 결제 승인,"② 회사는 점검, 오류 등이 발생할 경우 결제 서비스를 일시적으로 중단할 수 있는 재량권이 있습니다.1. 서비스 설비가 부족하여 원활한 서비스를 제공할 수 없다고 판단한 경우"
,제5조 RP의 결제 승인,"② 회사는 점검, 오류 등이 발생할 경우 결제 서비스를 일시적으로 중단할 수 있는 재량권이 있습니다.2. 서비스의 장애가 발생한 경우"
,제6조 미성년자 회원의 RP 이용,① 만 19세 미만의 미성년자 회원이 RP를 충전할 경우에는 반드시 법정대리인의 동의를 받아야 합니다. 그러하지 않는 경우 RP를 충전하실 수 없습니다.
,제6조 미성년자 회원의 RP 이용,"② 미성년자 회원이 법정대리인의 동의가 필요한 경우 법정대리인의 동의방법은 본인인증을 통해 진행하며, 법정대리인은 동의 시 동의기간을 ‘1개월/3개월/6개월/9개월/12개월’ 중 선택 가능합니다."
,제6조 미성년자 회원의 RP 이용,③ 법정대리인 동의기간 중 법정대리인의 변경 혹은 취소를 요청하는 경우에는 회사에서 제공하는 절차에 따라 신청하실 수 있습니다.
,제6조 미성년자 회원의 RP 이용,④ 회사는 법정대리인이 선택한 결제동의 유효기간 동안 발생하는 이용내역에 대해 사전 수집된 수단을 통해 안내할 수 있습니다.
,제6조 미성년자 회원의 RP 이용,"⑤ 관련 법에 따라, 미성년자가 본인이 아닌 다른 성년자의 개인정보를 이용하여 회원가입을 하거나, 성년자의 결제정보를 동의 없이 이용하는 등 정당하지 아니한 방법으로 행한 RP 충전, 상품 구매 등의 이용행위에 대해서는 취소할 수 없습니다."
,제6조 미성년자 회원의 RP 이용,⑥ 회사가 법정대리인의 동의절차 없이 미성년자와 계약을 맺은 경우에는 법정대리인 또는 미성년자 본인이 해당 계약을 취소할 수 있습니다.
,제7조 RP의 사용 및 차감,① RP는 게임의 상품을 구매하거나 다른 회원에게 선물하기의 용도로 사용되며 사용 즉시 보유하고 있는 RP에서 차감됩니다.
,제7조 RP의 사용 및 차감,② 회원이 사용한 RP의 사용내역 등은 게임의 [상점 > 구매기록] 또는 홈페이지의 [마이페이지]에서 최근 사용내역을 확인할 수 있습니다.
,제7조 RP의 사용 및 차감,③ RP 마지막 사용일로부터 5년이 경과하는 동안 RP의 이용 내역이 없는 경우 자동으로 소멸됩니다. (단 RP 결제일로부터 5년이 경과한 경우에는 잔여 RP에 대한 환불을 청구하실 수 없습니다.)
,제7조 RP의 사용 및 차감,"④ 보너스 RP는 일반 RP와 동일한 용도로 사용할 수 있습니다. 단, 보너스 RP의 경우 회사가 그 사용기한을 별도 고지하는 경우 그 기간 내 사용해야 하며, 그 기간이 정해지지 않은 경우 이용기간은 5년으로 합니다."
,제7조 RP의 사용 및 차감,⑤ RP의 잔액에 대한 이자수익은 발생하지 않습니다.
,제7조 RP의 사용 및 차감,⑥ 보유하고 있는 RP (보너스 RP 포함)는 구매 또는 회사가 지급한 순서에 따라 순차적으로 차감됩니다.
