장,조,내용
제1장 총칙,제1조 (목적),"이 약관은 ㈜위메이드(이하 '회사')가 온라인으로 제공하는 게임 및 이에 부수된 제반 서비스 로스트사가 (영문명 : Lost Saga, 이하'게임서비스'라 합니다)의 이용과 관련하여 회사와 회원 간의 권리, 의무 및 책임사항, 기타 필요한 사항을 규정함을 목적으로 합니다."
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.① '회사'라 함은 온라인을 통하여 게임서비스를 제공하는 사업자를 의미합니다.
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.② '회원'이라 함은 본 약관에 동의하고 게임서비스 이용 자격을 부여 받은 자를 의미합니다.
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.③ '게임서비스'라 함은 회사가 회원에게 온라인으로 제공하는 게임 및 이에 부수된 제반 서비스를 의미합니다.
제1장 총칙,제2조 (용어의 정의),"1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.④ '게임세계'라 함은 게임서비스를 통해 다중의 회원이 일정한 규칙(이하 '게임규칙')에 따라 오락을 하거나 오락에 부수하여 여가선용, 친목도모, 정보매개 등을 할 수 있도록 게임성을 구현한 가변적인 가상세계를 의미합니다."
제1장 총칙,제2조 (용어의 정의),"1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑤ '계정(ID)'이라 함은 회원의 식별과 게임서비스 이용을 위하여 회원이 선정하고 회사가 부여하는 문자, 숫자 또는 특수문자의 조합을 의미합니다."
제1장 총칙,제2조 (용어의 정의),"1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑥ '계정정보'라 함은 회원의 계정, 비밀번호, 성명 등 회원이 회사에 제공한 일반정보 및 게임이용정보, 이용요금 결제상태 등 생성정보를 통칭합니다."
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑦ '캐릭터'라 함은 회원이 게임서비스의 이용을 위하여 게임세계 내에서 회사에서 제공하는 방식에 따라 선정하고 조종하는 게임데이터를 의미합니다.
제1장 총칙,제2조 (용어의 정의),"1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑧ '비밀번호'라 함은 회원이 부여 받은 계정과 일치되는 회원임을 확인하고 회원의 정보 및 권익보호를 위해 회원 자신이 선정하여 비밀로 관리하는 문자, 숫자 또는 특수문자의 조합을 의미합니다."
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑨ '골드'라 함은 게임서비스를 이용 또는 구매하기 위해 사용되는 가상의 데이터로서 회원이 대금을 지급하고 구입하는 것을 말합니다.
제1장 총칙,제2조 (용어의 정의),1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑩ '페소'라 함은 게임서비스를 이용 또는 구매하기 위해 사용되는 가상의 데이터로서 회사가 임의로 책정하고 무료로 지급하는 일체의 재산적 가치가 없는 것을 말합니다.
제1장 총칙,제2조 (용어의 정의),"1. 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.⑪ '게시물'이라 함은 회원이 서비스를 이용함에 있어 회원이 게시판 문자, 문서, 그림, 음성, 영상 또는 이들의 조합으로 이루어진 모든 정보를 말합니다."
제1장 총칙,제2조 (용어의 정의),2. 이 약관에서 사용하는 용어의 정의는 제1항 각호에서 정하는 것을 제외하고는 관계법령 및 기타 일반적인 상관례에 의합니다.
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다."
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.1. 상호 및 대표자의 성명"
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.2. 영업소 소재지 주소(회원의 불만을 처리할 수 있는 곳의 주소를 포함한다) 및 전자 우편주소"
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.3. 전화번호, 모사전송번호(Fax 번호)"
